Local Context,Question,Answer,Perturbation?,Perturbation Target,Perturbation Category,Perturbation Effect
"Alice: where can I get the oranges
Bob: Owen and I put the oranges in the pantry
Alice: what about the asparagus
Bob: the asparagus are in the porch
Alice: how about the turnips
Bob: Elizabeth left them in the pantry and walked to the playroom
Alice: how many are in the pantry
Bob: one or two
Alice: where can I get the grapes
Bob: the grapes are in the pantry or the hall
Alice: are all the grapefruits in the playroom
Bob: some of the grapefruits are in the playroom
Alice: are some of the pumpkins in the porch
Bob: five are in the porch
Alice: are some of the peaches in the hall
Bob: five are there
Alice: are some of the asparagus in the porch
Bob: five are in the porch
Alice: are some of the cabbages in the playroom
Bob: four are in the playroom",are all the grapefruits in the playroom ?,No,TRUE,Context,Variable Swap,Invarianat
"Alice: where was Hunter
Bob: he said he was in the attic
Alice: where can I find the celeries
Bob: Hunter and I put them in the attic
Alice: are some of them in the attic
Bob: I don't know
Alice: where can I find the plum
Bob: Oliver said there is a green box in the dining_room
Alice: are all the grapes in the bedroom
Bob: yes, they are all there
Alice: are some of the asparagus there
Bob: Jayden said he put five of the asparagus there
Alice: how many apples are in the living_room
Bob: four are there
Alice: did Jayden place the beans there
Bob: he said he didn't go back there
Alice: did you leave them in the living_room
Bob: no
Alice: how many are in the dining_room
Bob: there are four or five","is the woman sure about how many are the 
beans?",No,FALSE,None,-,-
"Alice: where was Hunter
Bob: he said he was in the attic
Alice: where can I find the celeries
Bob: Hunter and I put them in the attic
Alice: are some of them in the attic
Bob: I don't know
Alice: where can I find the plum
Bob: Oliver said there is a green box in the dining_room
Alice: are all the grapes in the bedroom
Bob: yes, they are all there
Alice: are all of the asparagus there
Bob: Jayden said he put five of the asparagus there
Alice: how many apples are in the living_room
Bob: four are there
Alice: did Jayden place the beans there
Bob: he said he didn't go back there
Alice: did you leave them in the living_room
Bob: no
Alice: how many are in the dining_room
Bob: there are four or five","is the woman sure about how many are the 
beans?",No,TRUE,Context,Quantifier change,Invarianat
"Alice: where was Hunter
Bob: he said he was in the attic
Alice: where can I find the celeries
Bob: Hunter and I put them in the attic
Alice: are some of them in the attic
Bob: I don't know
Alice: where can I find the plum
Bob: Oliver said there is a green box in the dining_room
Alice: are all the grapes in the bedroom
Bob: yes, they are all there
Alice: are some of the asparagus there
Bob: Jayden said he put five of the asparagus there
Alice: how many apples are in the living_room
Bob: there are at least four there
Alice: did Jayden place the beans there
Bob: he said he didn't go back there
Alice: did you leave them in the living_room
Bob: Yes
Alice: how many are in the dining_room
Bob: there are four or five","is the woman sure about how many are the 
beans?",No,TRUE,Context,Negation,Invarianat
"Alice: where was Hunter
Bob: he said he was in the attic
Alice: where can I find the celeries
Bob: Hunter and I put them in the attic
Alice: are some of them in the attic
Bob: I don't know
Alice: where can I find the plum
Bob: Oliver said there is a green box in the dining_room
Alice: are all the grapes in the bedroom
Bob: yes, they are all there
Alice: are some of the asparagus there
Bob: Jayden said he put five of the asparagus there
Alice: how many beans are in the living_room
Bob: four are there
Alice: did Jayden place the apples there
Bob: he said he didn't go back there
Alice: did you leave them in the living_room
Bob: no
Alice: how many are in the dining_room
Bob: there are four or five","is the woman sure about how many are the 
beans?",Yes,TRUE,Context,Variable Swap,Flip
"Alice: where was Hunter
Bob: he said he was in the attic
Alice: where can I find the celeries
Bob: Hunter and I put them in the attic
Alice: are some of them in the attic
Bob: I don't know
Alice: where can I find the plum
Bob: Oliver said there is a green box in the dining_room
Alice: are all the grapes in the bedroom
Bob: yes, they are all there
Alice: are some of the asparagus there
Bob: Jayden said he put five of the asparagus there
Alice: how many apples are in the living_room
Bob: four are there
Alice: did Jayden place the beans there
Bob: he said he didn't go back there
Alice: did you leave them in the living_room
Bob: no
Alice: how many are in the dining_room
Bob: there are four or five","is the woman sure about how many are the 
asparagus?",Yes,TRUE,Question,Variable Substitution,Flip
"Alice: where was Hunter
Bob: he said he was in the attic
Alice: where can I find the celeries
Bob: Hunter and I put them in the attic
Alice: are some of them in the attic
Bob: I don't know
Alice: where can I find the plum
Bob: Oliver said there is a green box in the dining_room
Alice: are all the grapes in the bedroom
Bob: yes, they are all there
Alice: are some of the asparagus there
Bob: Jayden said he put five of the asparagus there
Alice: how many apples are in the living_room
Bob: four are there
Alice: did Jayden place the beans there
Bob: he said he didn't go back there
Alice: did you leave them in the living_room
Bob: no
Alice: how many are in the dining_room
Bob: there are four or three","is the woman sure about how many are the 
beans?",No,TRUE,Context,Quantity Change,Invarianat
"Alice: where were you
Bob: I went to the closet and the attic
Alice: did Lily put the cabbage there
Bob: she put it in the closet if not the attic
Alice: are some of the limes there
Bob: yes, there are some in the attic
Alice: are some of the peas in the den
Bob: yes, there are some in the den
Alice: where can I find the grapes
Bob: Lily and I put the grapes in the TV_room
Alice: how many are in the TV_room
Bob: there are three or four
Alice: how can I find Logan
Bob: he travelled to the den
Alice: where are the eggplants
Bob: I'm not sure
Alice: where can I get the beans
Bob: they are in the den or the TV_room
Alice: are some of the lettuces in the TV_room
Bob: Lily said she left four of them there","is the woman sure about how many are the 
lettuces?",Yes,FALSE,None,-,-
"Alice: where were you
Bob: I went to the closet and the attic
Alice: did Lily put the cabbage there
Bob: she put it in the closet if not the attic
Alice: are some of the limes there
Bob: yes, there are some in the attic
Alice: are some of the peas in the den
Bob: yes, there are some in the den
Alice: where can I find the grapes
Bob: Lily and I put the grapes in the TV_room
Alice: how many are in the TV_room
Bob: there are three or four
Alice: how can I find Logan
Bob: he travelled to the den
Alice: where are the eggplants
Bob: I'm not sure
Alice: where can I get the beans
Bob: they are in the den or the TV_room
Alice: are some of the lettuces in the TV_room
Bob: Lily said she left four of them there","is the woman sure about how many are the 
grapes?",No,TRUE,Question,Variable Substitution,Flip
"Alice: where were you
Bob: I went to the closet and the attic
Alice: did Lily put the cabbage there
Bob: she put it in the closet if not the attic
Alice: are some of the limes there
Bob: yes, there are some in the attic
Alice: are some of the peas in the den
Bob: yes, there are some in the den
Alice: where can I find the grapes
Bob: Lily and I put the grapes in the TV_room
Alice: how many are in the TV_room
Bob: there are three or five
Alice: how can I find Logan
Bob: he travelled to the den
Alice: where are the eggplants
Bob: I'm not sure
Alice: where can I get the beans
Bob: they are in the den or the TV_room
Alice: are some of the lettuces in the TV_room
Bob: Lily said she left four of them there","is the woman sure about how many are the 
lettuces?",Yes,TRUE,Context,Quantity Change,Invarianat
"Alice: where were you
Bob: I went to the closet and the attic
Alice: did Lily put the cabbage there
Bob: she put it in the closet if not the attic
Alice: are some of the limes there
Bob: yes, there are some in the attic
Alice: are some of the peas in the den
Bob: yes, there are some in the den
Alice: where can I find the grapes
Bob: Lily and I put the grapes in the TV_room
Alice: how many are in the TV_room
Bob: there are three or four
Alice: how can I find Logan
Bob: he travelled to the den
Alice: where are the eggplants
Bob: I'm not sure
Alice: where can I get the beans
Bob: they are in the den or the TV_room
Alice: are some of the lettuces in the TV_room
Bob: Lily said she left five of them there","is the woman sure about how many are the 
lettuces?",Yes,TRUE,Context,Quantity Change,Invarianat
"Alice: where were you
Bob: I went to the closet and the attic
Alice: did Lily put the cabbage there
Bob: she put it in the closet if not the attic
Alice: are some of the limes there
Bob: yes, there are some in the attic
Alice: are some of the peas in the den
Bob: yes, there are some in the den
Alice: where can I find the grapes
Bob: Lily and I put the grapes in the TV_room
Alice: how many are in the TV_room
Bob: there are three or four
Alice: how can I find Logan
Bob: he travelled to the den
Alice: where are the eggplants
Bob: I'm not sure
Alice: where can I get the beans
Bob: they are in the den or the TV_room
Alice: are all of the lettuces in the TV_room
Bob: Lily said she left four of them there","is the woman sure about how many are the 
lettuces?",Yes,TRUE,Context,Quantifier change,Invarianat
"Alice: where were you
Bob: I went to the closet and the attic
Alice: did Lily put the cabbage there
Bob: she put it in the closet if not the attic
Alice: are some of the limes there
Bob: yes, there are some in the attic
Alice: are some of the peas in the den
Bob: yes, there are some in the den
Alice: where can I find the grapes
Bob: Lily and I put the grapes in the TV_room
Alice: how many are in the TV_room
Bob: there are three or four
Alice: how can I find Logan
Bob: he travelled to the den
Alice: where are the eggplants
Bob: I'm not sure
Alice: where can I get the beans
Bob: they aren't in the den or the TV_room
Alice: are some of the lettuces in the TV_room
Bob: Lily said she left four of them there","is the woman sure about how many are the 
lettuces?",Yes,TRUE,Context,Negation,Invarianat
"Alice: did you see the peaches
Bob: Chloe left the peaches in the office and went to the patio
Alice: are some of them in the office
Bob: three peaches are in the office
Alice: are some of the lettuces in the sunroom
Bob: yes
Alice: did you leave the lettuces there
Bob: I left them there and walked to the patio
Alice: how can I find Aria
Bob: she said she journeyed to the workshop and the office
Alice: did Chloe leave the limes in the office
Bob: she said she didn't journey to the office
Alice: where are they
Bob: Mia said there is a green box in the patio
Alice: how many
Bob: there are at least four there
Alice: where can I find the cabbages
Bob: I left them in the workshop and walked to the patio
Alice: how many are in the workshop
Bob: three or four",does the woman know who put the peaches in the office?,Yes,FALSE,None,-,-
"Alice: did you see the peaches
Bob: Aria left the peaches in the office and went to the patio
Alice: are some of them in the office
Bob: three peaches are in the office
Alice: are some of the lettuces in the sunroom
Bob: yes
Alice: did you leave the lettuces there
Bob: I left them there and walked to the patio
Alice: how can I find Chloe
Bob: she said she journeyed to the workshop and the office
Alice: did Chloe leave the limes in the office
Bob: she said she didn't journey to the office
Alice: where are they
Bob: Mia said there is a green box in the patio
Alice: how many
Bob: there are at least four there
Alice: where can I find the cabbages
Bob: I left them in the workshop and walked to the patio
Alice: how many are in the workshop
Bob: three or four",does the woman know who put the peaches in the office?,Yes,TRUE,Context,Variable Swap,Invarianat
"Alice: did you see the peaches
Bob: Chloe left the peaches in the office and went to the patio
Alice: are all of them in the office
Bob: three peaches are in the office
Alice: are some of the lettuces in the sunroom
Bob: yes
Alice: did you leave the lettuces there
Bob: I left them there and walked to the patio
Alice: how can I find Aria
Bob: she said she journeyed to the workshop and the office
Alice: did Chloe leave the limes in the office
Bob: she said she didn't journey to the office
Alice: where are they
Bob: Mia said there is a green box in the patio
Alice: how many
Bob: there are at least four there
Alice: where can I find the cabbages
Bob: I left them in the workshop and walked to the patio
Alice: how many are in the workshop
Bob: three or four",does the woman know who put the peaches in the office?,Yes,TRUE,Context,Quantifier change,Invarianat
"Alice: did you see the peaches
Bob: Chloe left the peaches in the office and went to the patio
Alice: are some of them in the office
Bob: four peaches are in the office
Alice: are some of the lettuces in the sunroom
Bob: yes
Alice: did you leave the lettuces there
Bob: I left them there and walked to the patio
Alice: how can I find Aria
Bob: she said she journeyed to the workshop and the office
Alice: did Chloe leave the limes in the office
Bob: she said she didn't journey to the office
Alice: where are they
Bob: Mia said there is a green box in the patio
Alice: how many
Bob: there are at least four there
Alice: where can I find the cabbages
Bob: I left them in the workshop and walked to the patio
Alice: how many are in the workshop
Bob: three or four",does the woman know who put the peaches in the office?,Yes,TRUE,Context,Quantity Change,Invarianat
"Alice: did you see the peaches
Bob: Chloe left the peaches in the patio and went to the office
Alice: are some of them in the office
Bob: three peaches are in the office
Alice: are some of the lettuces in the sunroom
Bob: yes
Alice: did you leave the lettuces there
Bob: I left them there and walked to the patio
Alice: how can I find Aria
Bob: she said she journeyed to the workshop and the office
Alice: did Chloe leave the limes in the office
Bob: she said she didn't journey to the office
Alice: where are they
Bob: Mia said there is a green box in the patio
Alice: how many
Bob: there are at least four there
Alice: where can I find the cabbages
Bob: I left them in the workshop and walked to the patio
Alice: how many are in the workshop
Bob: three or four",does the woman know who put the peaches in the office?,No,TRUE,Context,Variable Swap,Flip
"Alice: did Mia place the bananas in the staircase
Bob: no, she didn't
Alice: were you in the porch
Bob: I was not there
Alice: what about the garage
Bob: yes, I was there
Alice: where can I get the peach
Bob: there is a green drawer in the porch
Alice: where can I get the strawberries
Bob: they are in the porch
Alice: are all of them in the porch
Bob: some strawberries are in the porch
Alice: did you put the strawberries there
Bob: no, I didn't
Alice: did Isabella leave them there
Bob: she left them there and went to the staircase
Alice: did she place the peas in the porch
Bob: she placed them in the garage if not the porch
Alice: are some of the bananas in the staircase
Bob: three bananas are in the staircase",is the woman sure about where the peas are?,No,FALSE,None,-,-
"Alice: did Mia place the bananas in the staircase
Bob: no, she didn't
Alice: were you in the porch
Bob: I was not there
Alice: what about the garage
Bob: yes, I was there
Alice: where can I get the peas
Bob: there is a green drawer in the porch
Alice: where can I get the strawberries
Bob: they are in the porch
Alice: are all of them in the porch
Bob: some strawberries are in the porch
Alice: did you put the strawberries there
Bob: no, I didn't
Alice: did Isabella leave them there
Bob: she left them there and went to the staircase
Alice: did she place the peach in the porch
Bob: she placed them in the garage if not the porch
Alice: are some of the bananas in the staircase
Bob: three bananas are in the staircase",is the woman sure about where the peas are?,Yes,TRUE,Context,Variable Swap,Flip
"Alice: did Mia place the bananas in the staircase
Bob: no, she didn't
Alice: were you in the porch
Bob: I was not there
Alice: what about the garage
Bob: yes, I was there
Alice: where can I get the peach
Bob: there is a green drawer in the porch
Alice: where can I get the strawberries
Bob: they are in the porch
Alice: are all of them in the porch
Bob: some strawberries are in the porch
Alice: did you put the strawberries there
Bob: no, I didn't
Alice: did Isabella leave them there
Bob: she left them there and went to the staircase
Alice: did she place the peas in the porch
Bob: she placed them in the garage if not the porch
Alice: are some of the bananas in the staircase
Bob: three bananas are in the staircase","is the woman sure about where the strawberries 
are?",Yes,TRUE,Question,Variable Substitution,Flip
"Alice: did Mia place the bananas in the garage
Bob: no, she didn't
Alice: were you in the porch
Bob: I was not there
Alice: what about the garage
Bob: yes, I was there
Alice: where can I get the peach
Bob: there is a green drawer in the porch
Alice: where can I get the strawberries
Bob: they are in the porch
Alice: are all of them in the porch
Bob: some strawberries are in the porch
Alice: did you put the strawberries there
Bob: no, I didn't
Alice: did Isabella leave them there
Bob: she left them there and went to the staircase
Alice: did she place the peas in the porch
Bob: she placed them in the staircase if not the porch
Alice: are some of the bananas in the staircase
Bob: three bananas are in the staircase",is the woman sure about where the peas are?,No,TRUE,Context,Variable Swap,Invarianat
"Alice: did Mia place the bananas in the staircase
Bob: no, she didn't
Alice: were you in the porch
Bob: I was not there
Alice: what about the garage
Bob: yes, I was there
Alice: where can I get the peach
Bob: there is a green drawer in the porch
Alice: where can I get the strawberries
Bob: they are in the porch
Alice: are all of them in the porch
Bob: some strawberries aren't in the porch
Alice: did you put the strawberries there
Bob: no, I didn't
Alice: did Isabella leave them there
Bob: she left them there and went to the staircase
Alice: did she place the peas in the porch
Bob: she placed them in the garage if not the porch
Alice: are some of the bananas in the staircase
Bob: three bananas are in the staircase",is the woman sure about where the peas are?,No,TRUE,Context,Negation,Invarianat
"Alice: did Mia place the bananas in the staircase
Bob: no, she didn't
Alice: were you in the porch
Bob: I was not there
Alice: what about the garage
Bob: yes, I was there
Alice: where can I get the peach
Bob: there is a green drawer in the porch
Alice: where can I get the strawberries
Bob: they are in the porch
Alice: are all of them in the porch
Bob: some strawberries are in the porch
Alice: did you put the strawberries there
Bob: no, I didn't
Alice: did Isabella leave them there
Bob: she left them there and went to the staircase
Alice: did she place the peas in the porch
Bob: she placed them in the garage if not the porch
Alice: are some of the bananas in the staircase
Bob: four bananas are in the staircase",is the woman sure about where the peas are?,No,TRUE,Context,Quantity Change,Invarianat
"Alice: did you place the peas in the hall
Bob: I placed them in the basement
Alice: where did you see Ava
Bob: she said she went to the bathroom
Alice: where are the pumpkins
Bob: the pumpkins are in the dining_room
Alice: are some of them in the dining_room
Bob: all of them are in the dining_room
Alice: did you put them there
Bob: I put them there and walked to the hall
Alice: did Mia leave the broccoli there
Bob: I didn't see her
Alice: where can I get it
Bob: Ava said there is a blue envelope in the bathroom
Alice: where can I get the beans
Bob: Avery said there is a red container in the basement
Alice: did Ava place them in the basement
Bob: no, she didn't
Alice: where can I get the apples
Bob: the apples are in the hall",is the broccoli in the dining_room?,No,FALSE,None,-,-
"Alice: did you place the peas in the hall
Bob: I placed them in the basement
Alice: where did you see Ava
Bob: she said she went to the bathroom
Alice: where are the pumpkins
Bob: the pumpkins are in the dining_room
Alice: are all of them in the dining_room
Bob: all of them are in the dining_room
Alice: did you put them there
Bob: I put them there and walked to the hall
Alice: did Mia leave the broccoli there
Bob: I didn't see her
Alice: where can I get it
Bob: Ava said there is a blue envelope in the bathroom
Alice: where can I get the beans
Bob: Avery said there is a red container in the basement
Alice: did Ava place them in the basement
Bob: no, she didn't
Alice: where can I get the apples
Bob: the apples are in the hall",is the broccoli in the dining_room?,No,TRUE,Context,Quantifier change,Invarianat
"Alice: did you place the peas in the hall
Bob: I placed them in the basement
Alice: where did you see Ava
Bob: she said she went to the bathroom
Alice: where are the pumpkins
Bob: the pumpkins are in the dining_room
Alice: are some of them in the dining_room
Bob: all of them are in the dining_room
Alice: did you put them there
Bob: I put them there and walked to the hall
Alice: did Mia leave the broccoli there
Bob: I didn't see her
Alice: where can I get it
Bob: Ava said there is a blue envelope in the bathroom
Alice: where can I get the beans
Bob: Avery said there is a red container in the basement
Alice: did Ava place them in the basement
Bob: no, she didn't
Alice: where can I get the apples
Bob: the apples are in the hall",is the pumpkin in the dining_room?,Yes,TRUE,Question,Variable Substitution,Flip
"Alice: did you place the peas in the hall
Bob: I placed them in the basement
Alice: where did you see Ava
Bob: she said she went to the bathroom
Alice: where are the pumpkins
Bob: the pumpkins are in the dining_room
Alice: are some of them in the dining_room
Bob: all of them are in the dining_room
Alice: did you put them there
Bob: I put them there and walked to the hall
Alice: did Avery leave the broccoli there
Bob: I didn't see her
Alice: where can I get it
Bob: Ava said there is a blue envelope in the bathroom
Alice: where can I get the beans
Bob: Mia said there is a red container in the basement
Alice: did Ava place them in the basement
Bob: no, she didn't
Alice: where can I get the apples
Bob: the apples are in the hall",is the broccoli in the dining_room?,No,TRUE,Context,Variable Swap ,Invarianat
"Alice: did you place the peas in the hall
Bob: I placed them in the dining_room
Alice: where did you see Ava
Bob: she said she went to the bathroom
Alice: where are the pumpkins
Bob: the pumpkins are in the dining_room
Alice: are some of them in the dining_room
Bob: all of them are in the dining_room
Alice: did you put them there
Bob: I put them there and walked to the hall
Alice: did Mia leave the broccoli there
Bob: I didn't see her
Alice: where can I get it
Bob: Ava said there is a blue envelope in the bathroom
Alice: where can I get the beans
Bob: Avery said there is a red container in the basement
Alice: did Ava place them in the basement
Bob: no, she didn't
Alice: where can I get the apples
Bob: the apples are in the hall",is the broccoli in the dining_room?,No,TRUE,Context,Variable Substitution,Invarianat
"Alice: did you see the pineapples
Bob: the pineapples are in the crawlspace
Alice: how about the corn
Bob: the corn is in the sunroom or the front_yard
Alice: what about the pumpkins
Bob: I put the pumpkins in the bathroom and travelled to the front_yard
Alice: are some of them in the bathroom
Bob: yes, some of them are there
Alice: did Alexander leave the pineapples there
Bob: he left the pumpkins there
Alice: where was he
Bob: he said he travelled to the bathroom
Alice: where are the eggplants
Bob: Alexander and I put them in the bathroom
Alice: where did Lucas go
Bob: he travelled to the bathroom and the sunroom
Alice: did you leave the pineapples in the sunroom
Bob: I left the asparagus there
Alice: did you see the grapefruits
Bob: they are in the front_yard or the sunroom",did Lucas put the asparagus in the sunroom,No,FALSE,None,-,-
"Alice: did you see the pineapples
Bob: the pineapples are in the crawlspace
Alice: how about the corn
Bob: the corn is in the sunroom or the front_yard
Alice: what about the pumpkins
Bob: I put the pumpkins in the bathroom and travelled to the front_yard
Alice: are some of them in the bathroom
Bob: yes, some of them are there
Alice: did Alexander leave the asparagus there
Bob: he left the pumpkins there
Alice: where was he
Bob: he said he travelled to the bathroom
Alice: where are the eggplants
Bob: Alexander and I put them in the bathroom
Alice: where did Lucas go
Bob: he travelled to the bathroom and the sunroom
Alice: did you leave the pineapples in the sunroom
Bob: I left the asparagus there
Alice: did you see the grapefruits
Bob: they are in the front_yard or the sunroom",did Lucas put the asparagus in the sunroom,No,TRUE,Context,Variable Substitution,Flip
"Alice: did you see the pineapples
Bob: the pineapples are in the crawlspace
Alice: how about the corn
Bob: the corn is in the sunroom or the front_yard
Alice: what about the pumpkins
Bob: I put the pumpkins in the bathroom and travelled to the front_yard
Alice: are some of them in the bathroom
Bob: yes, some of them are there
Alice: did Alexander leave the pineapples there
Bob: he left the pumpkins there
Alice: where was he
Bob: he said he travelled to the bathroom
Alice: where are the asparagus
Bob: Alexander and I put them in the bathroom
Alice: where did Lucas go
Bob: he travelled to the bathroom and the sunroom
Alice: did you leave the pineapples in the sunroom
Bob: I left the eggplants there
Alice: did you see the grapefruits
Bob: they are in the front_yard or the sunroom",did Lucas put the asparagus in the sunroom,No,TRUE,Context,Variable Swap,Invarianat
"Alice: did you see the pineapples
Bob: the pineapples are in the crawlspace
Alice: how about the corn
Bob: the corn is in the sunroom or the front_yard
Alice: what about the pumpkins
Bob: I put the pumpkins in the bathroom and travelled to the front_yard
Alice: are some of them in the bathroom
Bob: yes, some of them are there
Alice: did Alexander leave the pineapples there
Bob: he left the pumpkins there
Alice: where was he
Bob: he said he travelled to the bathroom
Alice: where are the eggplants
Bob: Alexander and I put them in the bathroom
Alice: where did Lucas go
Bob: he travelled to the bathroom and the sunroom
Alice: did you leave the pineapples in the sunroom
Bob: I haven't left the asparagus there
Alice: did you see the grapefruits
Bob: they are in the front_yard or the sunroom",did Lucas put the asparagus in the sunroom,No,TRUE,Context,Negation,Invarianat
"Alice: did you see the pineapples
Bob: the pineapples are in the crawlspace
Alice: how about the corn
Bob: the corn is in the sunroom or the front_yard
Alice: what about the pumpkins
Bob: I put the pumpkins in the bathroom and travelled to the front_yard
Alice: are some of them in the bathroom
Bob: yes, some of them are there
Alice: did Alexander leave the pineapples there
Bob: he left the pumpkins there
Alice: where was he
Bob: he said he travelled to the bathroom
Alice: where are the eggplants
Bob: Alexander and Jack put them in the bathroom
Alice: where did Lucas go
Bob: he travelled to the bathroom and the sunroom
Alice: did you leave the pineapples in the sunroom
Bob: I left the asparagus there
Alice: did you see the grapefruits
Bob: they are in the front_yard or the sunroom","does the woman know who put the eggplants 
in the bathroom?",Yes,FALSE,None,-,-
"Alice: did you see the pineapples
Bob: the pineapples are in the crawlspace
Alice: how about the corn
Bob: the corn is in the sunroom or the front_yard
Alice: what about the pumpkins
Bob: I put the pumpkins in the bathroom and travelled to the front_yard
Alice: are some of them in the bathroom
Bob: yes, some of them are there
Alice: did Alexander leave the pineapples there
Bob: he left the pumpkins there
Alice: where was he
Bob: he said he travelled to the bathroom
Alice: where are the eggplants
Bob: Lucas and Jack put them in the bathroom
Alice: where did Alexander go
Bob: he travelled to the bathroom and the sunroom
Alice: did you leave the pineapples in the sunroom
Bob: I left the asparagus there
Alice: did you see the grapefruits
Bob: they are in the front_yard or the sunroom","does the woman know who put the eggplants 
in the bathroom?",Yes,TRUE,Context,Variable Swap,Invarianat
