Seed Index,Local Context,Question,Answer,Perturbation?,Perturbation Target,Perturbation Category,Perturbation Effect,Utterance Index,Old Word,New Word
0,"1: Alice: Did you see the grapes?
2: Bob: Elizabeth put them in the pantry.
3: Alice: And the pumpkins?
4: Bob: Owen left those in the playroom.
5: Alice: How many grapes are in the pantry?
6: Bob: There are about ten.
7: Alice: Are all the pumpkins in the playroom?
8: Bob: Yes, all of them are there.
9: Alice: Where did you see Owen?
10: Bob: I saw him in the playroom, arranging the pumpkins.
11: Alice: Then where did Elizabeth go?
12: Bob: She stayed in the pantry to sort out the fruits.
13: Alice: Did Owen place any grapes in the pantry too?
14: Bob: No, Elizabeth handled all the grapes.
15: Alice: Did Elizabeth leave any pumpkins in the playroom?
16: Bob: No, that was all Owen’s doing.
17: Alice: Were you there when they were organizing?
18: Bob: Yes, I helped Owen with the pumpkins in the playroom.",Did Elizabeth place all the grapes at pantry?,yes,FALSE,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
0,"1: Alice: Did you see the grapes?
2: Bob: Elizabeth put them in the pantry.
3: Alice: And the pumpkins?
4: Bob: Owen left those in the playroom.
5: Alice: How many grapes are in the pantry?
6: Bob: There are about ten.
7: Alice: Are all the pumpkins in the pantry?
8: Bob: Yes, all of them are there.
9: Alice: Where did you see Owen?
10: Bob: I saw him in the playroom, arranging the pumpkins.
11: Alice: Then where did Elizabeth go?
12: Bob: She stayed in the pantry to sort out the fruits.
13: Alice: Did Owen place any grapes in the pantry too?
14: Bob: No, Elizabeth handled all the grapes.
15: Alice: Did Elizabeth leave any pumpkins in the playroom?
16: Bob: No, that was all Owen’s doing.
17: Alice: Were you there when they were organizing?
18: Bob: Yes, I helped Owen with the pumpkins in the playroom.",Did Elizabeth place all the grapes at pantry?,yes,TRUE,Context,Variable Substitution: location,Possible,7,playroom,pantry
0,"1: Alice: Did you see the grapes?
2: Bob: Owen put them in the pantry.
3: Alice: And the pumpkins?
4: Bob: Owen left those in the playroom.
5: Alice: How many grapes are in the pantry?
6: Bob: There are about ten.
7: Alice: Are all the pumpkins in the playroom?
8: Bob: Yes, all of them are there.
9: Alice: Where did you see Owen?
10: Bob: I saw him in the playroom, arranging the pumpkins.
11: Alice: Then where did Elizabeth go?
12: Bob: She stayed in the pantry to sort out the fruits.
13: Alice: Did Owen place any grapes in the pantry too?
14: Bob: No, Elizabeth handled all the grapes.
15: Alice: Did Elizabeth leave any pumpkins in the playroom?
16: Bob: No, that was all Owen’s doing.
17: Alice: Were you there when they were organizing?
18: Bob: Yes, I helped Elizabeth with the pumpkins in the playroom.",Did Elizabeth place all the grapes at pantry?,cannot answer,TRUE,Context,Variable Swap: agent,Possible,swapped between indexes 18 and 2,Owen,Elizabeth
0,"1: Alice: Did you see the grapes?
2: Bob: Elizabeth put them in the pantry.
3: Alice: And the pumpkins?
4: Bob: Owen left those in the playroom.
5: Alice: How many grapes are in the pantry?
6: Bob: There are about ten.
7: Alice: Are all the pumpkins in the playroom?
8: Bob: Yes, all of them are there.
9: Alice: Where did you see Owen?
10: Bob: I saw him in the playroom, arranging the pumpkins.
11: Alice: Then where did Elizabeth go?
12: Bob: She stayed in the pantry to sort out the fruits.
13: Alice: Did Owen place any grapes in the pantry too?
14: Bob: No, Elizabeth handled some the grapes.
15: Alice: Did Elizabeth leave any pumpkins in the playroom?
16: Bob: No, that was all Owen’s doing.
17: Alice: Were you there when they were organizing?
18: Bob: Yes, I helped Owen with the pumpkins in the playroom.",Did Elizabeth place all the grapes at pantry?,no,TRUE,Context,Quantifier Change,Possible,14,all,some
0,"1: Alice: Did you see the grapes?
2: Bob: Elizabeth put them in the pantry.
3: Alice: Or the pumpkins?
4: Bob: Owen left those in the playroom.
5: Alice: How many grapes are in the pantry?
6: Bob: There are about ten.
7: Alice: Are all the pumpkins in the playroom?
8: Bob: Yes, all of them are there.
9: Alice: Where did you see Owen?
10: Bob: I saw him in the playroom, arranging the pumpkins.
11: Alice: Then where did Elizabeth go?
12: Bob: She stayed in the pantry to sort out the fruits.
13: Alice: Did Owen place any grapes in the pantry too?
14: Bob: No, Elizabeth handled all the grapes.
15: Alice: Did Elizabeth leave any pumpkins in the playroom?
16: Bob: No, that was all Owen’s doing.
17: Alice: Were you there when they were organizing?
18: Bob: Yes, I helped Owen with the pumpkins in the playroom.",Did Elizabeth place all the grapes at pantry?,yes,TRUE,Context,Logical Connective Change,Possible,3,And,Or
0,"1: Alice: Did you see the grapes?
2: Bob: Elizabeth put them in the pantry.
3: Alice: And the pumpkins?
4: Bob: Owen left those in the playroom.
5: Alice: How many grapes are in the pantry?
6: Bob: There are about ten.
7: Alice: Are all the pumpkins in the playroom?
8: Bob: Yes, all of them are there.
9: Alice: Where did you see Owen?
10: Bob: I saw him in the playroom, arranging the pumpkins.
11: Alice: Then where did Elizabeth go?
12: Bob: She stayed in the pantry to sort out the fruits.
13: Alice: Did Owen place any grapes in the pantry too?
14: Bob: No, Elizabeth handled all the grapes.
15: Alice: Did Elizabeth leave any pumpkins in the playroom?
16: Bob: No, that was all Owen’s doing.
17: Alice: Were you there when they were organizing?
18: Bob: Yes, I helped Owen with the pumpkins in the playroom.",Did Elizabeth place some of the grapes at pantry?,yes,FALSE,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
0,"1: Alice: Did you see the grapes?
2: Bob: Elizabeth put them in the pantry.
3: Alice: And the pumpkins?
4: Bob: Owen left those in the playroom.
5: Alice: How many grapes are in the pantry?
6: Bob: There are about ten.
7: Alice: Are all the pumpkins in the pantry?
8: Bob: Yes, all of them are there.
9: Alice: Where did you see Owen?
10: Bob: I saw him in the playroom, arranging the pumpkins.
11: Alice: Then where did Elizabeth go?
12: Bob: She stayed in the pantry to sort out the fruits.
13: Alice: Did Owen place any grapes in the pantry too?
14: Bob: No, Elizabeth handled all the grapes.
15: Alice: Did Elizabeth leave any pumpkins in the playroom?
16: Bob: No, that was all Owen’s doing.
17: Alice: Were you there when they were organizing?
18: Bob: Yes, I helped Owen with the pumpkins in the playroom.",Did Elizabeth place some of the grapes at pantry?,yes,TRUE,Context,Variable Substitution: location,Possible,7,playroom,pantry
0,"1: Alice: Did you see the grapes?
2: Bob: Owen put them in the pantry.
3: Alice: And the pumpkins?
4: Bob: Owen left those in the playroom.
5: Alice: How many grapes are in the pantry?
6: Bob: There are about ten.
7: Alice: Are all the pumpkins in the playroom?
8: Bob: Yes, all of them are there.
9: Alice: Where did you see Owen?
10: Bob: I saw him in the playroom, arranging the pumpkins.
11: Alice: Then where did Elizabeth go?
12: Bob: She stayed in the pantry to sort out the fruits.
13: Alice: Did Owen place any grapes in the pantry too?
14: Bob: No, Elizabeth handled all the grapes.
15: Alice: Did Elizabeth leave any pumpkins in the playroom?
16: Bob: No, that was all Owen’s doing.
17: Alice: Were you there when they were organizing?
18: Bob: Yes, I helped Elizabeth with the pumpkins in the playroom.",Did Elizabeth place some of the grapes at pantry?,cannot answer,TRUE,Context,Variable Swap: agent,Possible,swapped between indexes 18 and 2,Owen,Elizabeth
0,"1: Alice: Did you see the grapes?
2: Bob: Elizabeth put them in the pantry.
3: Alice: And the pumpkins?
4: Bob: Owen left those in the playroom.
5: Alice: How many grapes are in the pantry?
6: Bob: There are about ten.
7: Alice: Are all the pumpkins in the playroom?
8: Bob: Yes, all of them are there.
9: Alice: Where did you see Owen?
10: Bob: I saw him in the playroom, arranging the pumpkins.
11: Alice: Then where did Elizabeth go?
12: Bob: She stayed in the pantry to sort out the fruits.
13: Alice: Did Owen place any grapes in the pantry too?
14: Bob: No, Elizabeth handled some the grapes.
15: Alice: Did Elizabeth leave any pumpkins in the playroom?
16: Bob: No, that was all Owen’s doing.
17: Alice: Were you there when they were organizing?
18: Bob: Yes, I helped Owen with the pumpkins in the playroom.",Did Elizabeth place some of the grapes at pantry?,yes,TRUE,Context,Quantifier Change,Possible,14,all,some
0,"1: Alice: Did you see the grapes?
2: Bob: Elizabeth put them in the pantry.
3: Alice: Or the pumpkins?
4: Bob: Owen left those in the playroom.
5: Alice: How many grapes are in the pantry?
6: Bob: There are about ten.
7: Alice: Are all the pumpkins in the playroom?
8: Bob: Yes, all of them are there.
9: Alice: Where did you see Owen?
10: Bob: I saw him in the playroom, arranging the pumpkins.
11: Alice: Then where did Elizabeth go?
12: Bob: She stayed in the pantry to sort out the fruits.
13: Alice: Did Owen place any grapes in the pantry too?
14: Bob: No, Elizabeth handled all the grapes.
15: Alice: Did Elizabeth leave any pumpkins in the playroom?
16: Bob: No, that was all Owen’s doing.
17: Alice: Were you there when they were organizing?
18: Bob: Yes, I helped Owen with the pumpkins in the playroom.",Did Elizabeth place some of the grapes at pantry?,yes,TRUE,Context,Logical Connective Change,Possible,3,And,Or
1,"1: Alice: did you see the grapes?
2: Bob: Yes, Hunter put them in the attic.
3: Alice: Are all the grapes there?
4: Bob: Yes, they are all in the attic.
5: Alice: where can I find the apples?
6: Bob: Jayden said he left some in the living room.
7: Alice: how many apples are in the living room?
8: Bob: There are at least four there.
9: Alice: did Jayden put the apples there?
10: Bob: Yes, he placed them in the living room.
11: Alice: where was Hunter?
12: Bob: He was in the attic last time I checked.
13: Alice: and Jayden?
14: Bob: He was arranging the living room.
15: Alice: where can I find Hunter now?
16: Bob: You might still find him in the attic.
17: Alice: where did you see Jayden last?
18: Bob: He was in the living room, sorting the apples.
19: Alice: did Hunter leave all the grapes in the attic?
20: Bob: Yes, all the grapes are still there.",Did Jayden place four apples at living_room?,notsure,FALSE,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
1,"1: Alice: did you see the grapes?
2: Bob: Yes, Hunter put them in the attic.
3: Alice: Are all the grapes there?
4: Bob: Yes, they are all in the attic.
5: Alice: where can I find the apples?
6: Bob: Hunter said he left some in the living room.
7: Alice: how many apples are in the living room?
8: Bob: There are at least four there.
9: Alice: did Jayden put the apples there?
10: Bob: Yes, he placed them in the living room.
11: Alice: where was Hunter?
12: Bob: He was in the attic last time I checked.
13: Alice: and Jayden?
14: Bob: He was arranging the living room.
15: Alice: where can I find Hunter now?
16: Bob: You might still find him in the attic.
17: Alice: where did you see Jayden last?
18: Bob: He was in the living room, sorting the apples.
19: Alice: did Hunter leave all the grapes in the attic?
20: Bob: Yes, all the grapes are still there.",Did Jayden place four apples at living_room?,notsure,TRUE,Context,Variable Substitution: agent,Possible,6,Jayden,Hunter
1,"1: Alice: did you see the grapes?
2: Bob: Yes, Hunter put them in the attic.
3: Alice: Are all the grapes there?
4: Bob: Yes, they are all in the living room.
5: Alice: where can I find the apples?
6: Bob: Jayden said he left some in the living room.
7: Alice: how many apples are in the living room?
8: Bob: There are at least four there.
9: Alice: did Jayden put the apples there?
10: Bob: Yes, he placed them in the living room.
11: Alice: where was Hunter?
12: Bob: He was in the attic last time I checked.
13: Alice: and Jayden?
14: Bob: He was arranging the attic.
15: Alice: where can I find Hunter now?
16: Bob: You might still find him in the attic.
17: Alice: where did you see Jayden last?
18: Bob: He was in the living room, sorting the apples.
19: Alice: did Hunter leave all the grapes in the attic?
20: Bob: Yes, all the grapes are still there.",Did Jayden place four apples at living_room?,notsure,TRUE,Context,Variable Swap: location,Possible,swapped between indexes 14 and 4,living room,attic
1,"1: Alice: did you see the grapes?
2: Bob: Yes, Hunter put them in the attic.
3: Alice: Are all the grapes there?
4: Bob: Yes, they are some in the attic.
5: Alice: where can I find the apples?
6: Bob: Jayden said he left some in the living room.
7: Alice: how many apples are in the living room?
8: Bob: There are at least four there.
9: Alice: did Jayden put the apples there?
10: Bob: Yes, he placed them in the living room.
11: Alice: where was Hunter?
12: Bob: He was in the attic last time I checked.
13: Alice: and Jayden?
14: Bob: He was arranging the living room.
15: Alice: where can I find Hunter now?
16: Bob: You might still find him in the attic.
17: Alice: where did you see Jayden last?
18: Bob: He was in the living room, sorting the apples.
19: Alice: did Hunter leave all the grapes in the attic?
20: Bob: Yes, all the grapes are still there.",Did Jayden place four apples at living_room?,notsure,TRUE,Context,Quantifier Change,Possible,4,all,some
1,"1: Alice: did you see the grapes?
2: Bob: Yes, Hunter put them in the attic.
3: Alice: Are all the grapes there?
4: Bob: Yes, they are all in the attic.
5: Alice: where can I find the apples?
6: Bob: Jayden said he left some in the living room.
7: Alice: how many apples are in the living room?
8: Bob: There are at least four there.
9: Alice: did Jayden put the apples there?
10: Bob: Yes, he placed them in the living room.
11: Alice: where was Hunter?
12: Bob: He was in the attic last time I checked.
13: Alice: or Jayden?
14: Bob: He was arranging the living room.
15: Alice: where can I find Hunter now?
16: Bob: You might still find him in the attic.
17: Alice: where did you see Jayden last?
18: Bob: He was in the living room, sorting the apples.
19: Alice: did Hunter leave all the grapes in the attic?
20: Bob: Yes, all the grapes are still there.",Did Jayden place four apples at living_room?,notsure,TRUE,Context,Logical Connective Change,Possible,13,and,or
1,"1: Alice: did you see the grapes?
2: Bob: Yes, Hunter put them in the attic.
3: Alice: Are all the grapes there?
4: Bob: Yes, they are all in the attic.
5: Alice: where can I find the apples?
6: Bob: Jayden said he left some in the living room.
7: Alice: how many apples are in the living room?
8: Bob: There are at least four there.
9: Alice: did Jayden put the apples there?
10: Bob: Yes, he placed them in the living room.
11: Alice: where was Hunter?
12: Bob: He was in the attic last time I checked.
13: Alice: and Jayden?
14: Bob: He was arranging the living room.
15: Alice: where can I find Hunter now?
16: Bob: You might still find him in the attic.
17: Alice: where did you see Jayden last?
18: Bob: He was in the living room, sorting the apples.
19: Alice: did Hunter leave all the grapes in the attic?
20: Bob: Yes, all the grapes are still there.",Did Jayden place five apples at living_room?,notsure,FALSE,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
1,"1: Alice: did you see the grapes?
2: Bob: Yes, Hunter put them in the attic.
3: Alice: Are all the grapes there?
4: Bob: Yes, they are all in the attic.
5: Alice: where can I find the apples?
6: Bob: Hunter said he left some in the living room.
7: Alice: how many apples are in the living room?
8: Bob: There are at least four there.
9: Alice: did Jayden put the apples there?
10: Bob: Yes, he placed them in the living room.
11: Alice: where was Hunter?
12: Bob: He was in the attic last time I checked.
13: Alice: and Jayden?
14: Bob: He was arranging the living room.
15: Alice: where can I find Hunter now?
16: Bob: You might still find him in the attic.
17: Alice: where did you see Jayden last?
18: Bob: He was in the living room, sorting the apples.
19: Alice: did Hunter leave all the grapes in the attic?
20: Bob: Yes, all the grapes are still there.",Did Jayden place five apples at living_room?,notsure,TRUE,Context,Variable Substitution: agent,Possible,6,Jayden,Hunter
1,"1: Alice: did you see the grapes?
2: Bob: Yes, Hunter put them in the attic.
3: Alice: Are all the grapes there?
4: Bob: Yes, they are all in the living room.
5: Alice: where can I find the apples?
6: Bob: Jayden said he left some in the living room.
7: Alice: how many apples are in the living room?
8: Bob: There are at least four there.
9: Alice: did Jayden put the apples there?
10: Bob: Yes, he placed them in the living room.
11: Alice: where was Hunter?
12: Bob: He was in the attic last time I checked.
13: Alice: and Jayden?
14: Bob: He was arranging the attic.
15: Alice: where can I find Hunter now?
16: Bob: You might still find him in the attic.
17: Alice: where did you see Jayden last?
18: Bob: He was in the living room, sorting the apples.
19: Alice: did Hunter leave all the grapes in the attic?
20: Bob: Yes, all the grapes are still there.",Did Jayden place five apples at living_room?,notsure,TRUE,Context,Variable Swap: location,Possible,swapped between indexes 14 and 4,living room,attic
1,"1: Alice: did you see the grapes?
2: Bob: Yes, Hunter put them in the attic.
3: Alice: Are all the grapes there?
4: Bob: Yes, they are some in the attic.
5: Alice: where can I find the apples?
6: Bob: Jayden said he left some in the living room.
7: Alice: how many apples are in the living room?
8: Bob: There are at least four there.
9: Alice: did Jayden put the apples there?
10: Bob: Yes, he placed them in the living room.
11: Alice: where was Hunter?
12: Bob: He was in the attic last time I checked.
13: Alice: and Jayden?
14: Bob: He was arranging the living room.
15: Alice: where can I find Hunter now?
16: Bob: You might still find him in the attic.
17: Alice: where did you see Jayden last?
18: Bob: He was in the living room, sorting the apples.
19: Alice: did Hunter leave all the grapes in the attic?
20: Bob: Yes, all the grapes are still there.",Did Jayden place five apples at living_room?,notsure,TRUE,Context,Quantifier Change,Possible,4,all,some
1,"1: Alice: did you see the grapes?
2: Bob: Yes, Hunter put them in the attic.
3: Alice: Are all the grapes there?
4: Bob: Yes, they are all in the attic.
5: Alice: where can I find the apples?
6: Bob: Jayden said he left some in the living room.
7: Alice: how many apples are in the living room?
8: Bob: There are at least four there.
9: Alice: did Jayden put the apples there?
10: Bob: Yes, he placed them in the living room.
11: Alice: where was Hunter?
12: Bob: He was in the attic last time I checked.
13: Alice: or Jayden?
14: Bob: He was arranging the living room.
15: Alice: where can I find Hunter now?
16: Bob: You might still find him in the attic.
17: Alice: where did you see Jayden last?
18: Bob: He was in the living room, sorting the apples.
19: Alice: did Hunter leave all the grapes in the attic?
20: Bob: Yes, all the grapes are still there.",Did Jayden place five apples at living_room?,notsure,TRUE,Context,Logical Connective Change,Possible,13,and,or
1,"1: Alice: did you see the grapes?
2: Bob: Yes, Hunter put them in the attic.
3: Alice: Are all the grapes there?
4: Bob: Yes, they are all in the attic.
5: Alice: where can I find the apples?
6: Bob: Jayden said he left some in the living room.
7: Alice: how many apples are in the living room?
8: Bob: There are at least four there.
9: Alice: did Jayden put the apples there?
10: Bob: Yes, he placed them in the living room.
11: Alice: where was Hunter?
12: Bob: He was in the attic last time I checked.
13: Alice: and Jayden?
14: Bob: He was arranging the living room.
15: Alice: where can I find Hunter now?
16: Bob: You might still find him in the attic.
17: Alice: where did you see Jayden last?
18: Bob: He was in the living room, sorting the apples.
19: Alice: did Hunter leave all the grapes in the attic?
20: Bob: Yes, all the grapes are still there.",Did Jayden place all the apples at living_room?,notsure,FALSE,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
1,"1: Alice: did you see the grapes?
2: Bob: Yes, Hunter put them in the attic.
3: Alice: Are all the grapes there?
4: Bob: Yes, they are all in the attic.
5: Alice: where can I find the apples?
6: Bob: Hunter said he left some in the living room.
7: Alice: how many apples are in the living room?
8: Bob: There are at least four there.
9: Alice: did Jayden put the apples there?
10: Bob: Yes, he placed them in the living room.
11: Alice: where was Hunter?
12: Bob: He was in the attic last time I checked.
13: Alice: and Jayden?
14: Bob: He was arranging the living room.
15: Alice: where can I find Hunter now?
16: Bob: You might still find him in the attic.
17: Alice: where did you see Jayden last?
18: Bob: He was in the living room, sorting the apples.
19: Alice: did Hunter leave all the grapes in the attic?
20: Bob: Yes, all the grapes are still there.",Did Jayden place all the apples at living_room?,notsure,TRUE,Context,Variable Substitution: agent,Possible,6,Jayden,Hunter
